SNP,Chromosome,Position,DF,t Value,std Error,effect
GlymaLee.18G080800.1.p,18,9132164,NA,NA,NA,NA
GlymaLee.18G080900.1.p,18,9200912,NA,NA,NA,NA
GlymaLee.18G081000.1.p,18,9207899,765,0.809355346283395,0.164341003960902,0.133010270169336
GlymaLee.18G081100.1.p,18,9244416,765,0.00114746232740892,0.110340417100557,0.000126611471813476
GlymaLee.18G081200.1.p,18,9377564,NA,NA,NA,NA
GlymaLee.18G085100.1.p,18,10191757,NA,NA,NA,NA
GlymaLee.18G089200.1.p,18,11557053,NA,NA,NA,NA
GlymaLee.18G097300.1.p,18,14178476,NA,NA,NA,NA
GlymaLee.18G098100.1.p,18,14463037,NA,NA,NA,NA
GlymaLee.18G104200.1.p,18,17213420,NA,NA,NA,NA
GlymaLee.18G104300.1.p,18,17215907,NA,NA,NA,NA
GlymaLee.18G104400.1.p,18,17220440,NA,NA,NA,NA
GlymaLee.18G144600.1.p,18,48153662,NA,NA,NA,NA
GlymaLee.18G174700.1.p,18,53641995,NA,NA,NA,NA
GlymaLee.18G175100.1.p,18,53683880,NA,NA,NA,NA
GlymaLee.18G175400.1.p,18,53767372,765,0.408378811930706,0.189527804615991,0.0773991396769134
GlymaLee.18G214700.1.p,18,57766372,NA,NA,NA,NA
GlymaLee.18G224000.1.p,18,58536683,NA,NA,NA,NA
GlymaLee.18G224100.1.p,18,58545198,NA,NA,NA,NA
GlymaLee.18G225400.1.p,18,58659934,NA,NA,NA,NA
GlymaLee.18G225500.1.p,18,58671308,NA,NA,NA,NA
GlymaLee.18G225600.1.p,18,58689333,NA,NA,NA,NA
GlymaLee.18G226800.1.p,18,58831089,NA,NA,NA,NA
GlymaLee.18G226900.1.p,18,58839992,765,-0.37988989291832,0.116466527627578,-0.0442444567090092
GlymaLee.18G227000.1.p,18,58850534,765,-0.188751550866946,0.189829153919509,-0.0358305472020675
GlymaLee.18G230900.1.p,18,59157190,NA,NA,NA,NA
GlymaLee.18G231000.1.p,18,59160283,NA,NA,NA,NA
GlymaLee.19G020100.1.p,19,2598576,NA,NA,NA,NA
GlymaLee.19G044900.1.p,19,9293330,NA,NA,NA,NA
GlymaLee.19G045000.1.p,19,9329028,NA,NA,NA,NA
GlymaLee.19G045100.1.p,19,9383562,NA,NA,NA,NA
GlymaLee.19G064800.1.p,19,32138111,NA,NA,NA,NA
GlymaLee.19G082300.1.p,19,37919939,NA,NA,NA,NA
GlymaLee.19G102100.1.p,19,40909598,NA,NA,NA,NA
GlymaLee.19G104400.1.p,19,41176240,NA,NA,NA,NA
GlymaLee.19G105400.1.p,19,41296502,NA,NA,NA,NA
GlymaLee.19G105500.1.p,19,41297779,NA,NA,NA,NA
GlymaLee.19G105600.1.p,19,41319036,NA,NA,NA,NA
GlymaLee.19G105700.1.p,19,41330334,765,0.0133628418122851,0.116785287161184,0.00156058331833719
GlymaLee.19G105800.1.p,19,41351425,NA,NA,NA,NA
GlymaLee.19G106900.1.p,19,41476747,NA,NA,NA,NA
GlymaLee.19G107000.1.p,19,41492664,NA,NA,NA,NA
GlymaLee.19G108800.1.p,19,41703233,NA,NA,NA,NA
GlymaLee.19G108900.1.p,19,41716789,NA,NA,NA,NA
GlymaLee.19G109100.1.p,19,41739366,NA,NA,NA,NA
GlymaLee.19G109300.1.p,19,41768435,NA,NA,NA,NA
GlymaLee.20G016500.1.p,20,2138049,NA,NA,NA,NA
GlymaLee.20G030500.1.p,20,7464752,NA,NA,NA,NA
GlymaLee.20G030600.1.p,20,7473942,NA,NA,NA,NA
GlymaLee.20G031400.1.p,20,7843068,NA,NA,NA,NA
GlymaLee.20G031500.1.p,20,7903128,NA,NA,NA,NA
GlymaLee.20G033100.1.p,20,8688047,NA,NA,NA,NA
GlymaLee.20G033300.1.p,20,8796485,NA,NA,NA,NA
GlymaLee.20G033400.1.p,20,8816283,NA,NA,NA,NA
GlymaLee.20G035000.1.p,20,9726307,NA,NA,NA,NA
GlymaLee.20G036200.1.p,20,10990898,765,0.0435030261137757,0.104975573950433,0.00456675513487426
GlymaLee.20G036300.1.p,20,10992199,765,0.406039455561889,0.100099596678656,0.040644385737366
GlymaLee.20G036500.1.p,20,11048819,765,0.406039455561889,0.100099596678656,0.040644385737366
GlymaLee.20G043600.1.p,20,20416633,765,-0.742421586687649,0.32791528637917,-0.243451387212758
GlymaLee.20G157800.1.p,20,45326607,NA,NA,NA,NA
GlymaLee.20G158000.1.p,20,45342653,NA,NA,NA,NA
GlymaLee.20G160000.1.p,20,45484513,765,1.80352529535876,0.164118205154409,0.295991334424855
GlymaLee.20G170000.1.p,20,46391943,NA,NA,NA,NA
GlymaLee.20G170300.1.p,20,46396297,NA,NA,NA,NA
GlymaLee.20G170400.1.p,20,46397208,NA,NA,NA,NA
UWASoyPan00005,22,296,765,-2.04783009104916,0.0344377905359637,-0.0705227437287945
UWASoyPan00022,22,958,765,3.57065371982526,0.0639946743411487,0.228502821985229
UWASoyPan00043,22,467,765,0.123116242850726,0.052422908485163,0.00645411153200071
UWASoyPan00155,22,591,765,-2.2402268858629,0.0276146633845024,-0.0618631113580159
UWASoyPan00201,22,232,765,0.0540338242161992,0.0669814032846356,0.00361926137083635
UWASoyPan00202,22,273,765,-0.842964377070023,0.0253038379895106,-0.0213302340283086
UWASoyPan00251,22,452,765,3.23359094971493,0.0319114907965147,0.103188707831521
UWASoyPan00276,22,126,765,-2.73448551458754,0.0274583858891553,-0.0750845584678499
UWASoyPan00316,22,405,765,-4.10607275258745,0.036498885562768,-0.14986707950909
UWASoyPan00326,22,266,765,-0.581021327507055,0.0308027042890011,-0.0178970281368027
UWASoyPan00427,22,933,765,-2.3528803340767,0.033044003451114,-0.0777485858792888
UWASoyPan00542,22,1252,765,-1.02824212439383,0.327970939001682,-0.33723353505853
UWASoyPan00670,22,177,765,1.12790964933021,0.0470643003272529,0.0530842784780834
UWASoyPan00725,22,576,765,-1.62377925001998,0.039020997644071,-0.0633614862895211
UWASoyPan00772,22,326,765,4.18705781171353,0.0308367306655605,0.129115174020941
UWASoyPan00953,22,399,765,1.04009024168692,0.0255796662244318,0.0266051612256399
UWASoyPan00975,22,499,765,-3.17449067194999,0.0309671082884041,-0.098304796398804
UWASoyPan01217,22,234,765,1.90592274331385,0.0362939678466571,0.0691734987640453
UWASoyPan01253,22,473,765,2.48780735784627,0.0292972362271032,0.0728858798503476
UWASoyPan01320,22,297,765,-2.95113320439841,0.0301495820057682,-0.0889754325559551
UWASoyPan01330,22,494,765,-1.20429105434049,0.0272782277936228,-0.0328509257101222
UWASoyPan01418,22,410,765,0.282074370396297,0.0260253336713529,0.00734107960970043
UWASoyPan01530,22,288,765,-2.83645995753647,0.0250345597789074,-0.071009526367424
UWASoyPan01729,22,359,765,1.80219221654297,0.0627950380418066,0.113168728796464
UWASoyPan01876,22,352,765,-1.41425316206791,0.0327221615635907,-0.0462774204610052
UWASoyPan01973,22,270,765,-0.921848471619958,0.0286349362726605,-0.026397072237887
UWASoyPan02043,22,381,765,-0.686362044856412,0.0354554039776858,-0.0243352435753346
UWASoyPan02496,22,266,765,-2.7764767795621,0.0347399111917372,-0.0964545567479078
UWASoyPan02799,22,488,765,2.08164654717072,0.0292816229873747,0.0609539893872233
UWASoyPan03194,22,548,765,-2.35351059615485,0.040875513485923,-0.09620095411239
UWASoyPan03230,22,272,765,0.679200452103056,0.0767280226730371,0.0521137076885003
UWASoyPan03233,22,224,765,0.263046098918701,0.0533535706339078,0.0140344486186328
UWASoyPan03261,22,320,765,-0.0492890113586845,0.0245991669353911,-0.00121246861849267
UWASoyPan03336,22,248,765,0.351997837725419,0.0316722626772922,0.0111485679782783
UWASoyPan03340,22,887,765,-2.21113859261566,0.0277956811988576,-0.0614601034068354
UWASoyPan03402,22,532,765,-1.60419561180895,0.0256141711542994,-0.0410901409658506
UWASoyPan04211,22,750,765,-0.109638847692347,0.32777154218407,-0.035936494191405
UWASoyPan04314,22,261,765,-1.24299540201101,0.0434553105099813,-0.0540147511568674
UWASoyPan04354,22,277,765,4.35638924575563,0.0391707323103256,0.170642956985075
UWASoyPan04757,22,270,765,-1.97057419935484,0.117182198548917,-0.230916217084172
UWASoyPan04912,22,188,765,-0.109638847692347,0.32777154218407,-0.035936494191405
UWASoyPan04967,22,265,765,2.77081679779649,0.0487995442791138,0.135214597013382
UWASoyPan05095,22,299,765,-1.37421643671229,0.189568622177347,-0.260508316481012
UWASoyPan05312,22,248,765,-0.0748557054106978,0.0408782907365574,-0.0030599732890686
